,title,50 G,100 G,150 G,200 G,250 G,300 G,400 G,500 G,600 G,800 G,1 Kg,weight,image,features,nutrients
44,Mace Flower  Whole,Rs. 389,Rs. 584,,Rs. 1039,Rs. 1299,,,Rs. 2508,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/mace_F_x360.jpg?v=1623201392," Authentic Mace, Natural, Organic, Non-GMO, No Preservatives, Free from pesticides and chemicals. Ethically sourced  from organic and fair traded farmer in the Wayanad district of Kerala. Used in stews, meats, baked goods, pies. ","Mace contains magnesium, phosphorus, zinc, vitamins A & C, beta-carotene. Helps increase appetite, boost blood circulation,  relieve constipation, intestinal gas, reduce gum inflammation,  treat diarrhoea, vomiting, stomach spasms and pain
"
45,Premium Quality Single Origin Mace Whole,Rs. 519,,,,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/MaceWhole_Jati-patri_x360.jpg?v=1623598543," Premium Quality, free of pesticides and chemicals. Ethically sourced  from organic and fair traded farmer in the Wayanad district of Kerala. Used in stews, meats, baked goods, pies. ","Mace contains magnesium, phosphorus, zinc, vitamins A & C, beta-carotene. Helps increase appetite, boost blood circulation,  relieve constipation, intestinal gas, reduce gum inflammation,  treat diarrhoea, vomiting, stomach spasms and pain
"
46,"Ground Mace  (Organically Grown, Single Origin & Homestead Produce)",Rs. 454,Rs. 779,,Rs. 1299,Rs. 1819,,,Rs. 3575,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/macepowder100gm_x360.jpg?v=1624768786,"100% Natural, Organic, premium Gourmet Food Grade Spice, sourced from an organic and fair traded farmer in Wayanand district of Kerala  Ethically sourced,  handpicked, manually sorted and hygienically processed.                                                                                                                                                                                                                                   Ground mace is used as a  flavouring in curries, pickles, sauces, stews, desserts and baked products.","Mace contains magnesium, phosphorus, zinc, vitamins A & C, beta-carotene. Helps increase appetite, boost blood circulation,  relieve constipation, intestinal gas, reduce gum inflammation,  treat diarrhoea, vomiting, stomach spasms and pain
"
47,Premium Fennel Whole,,Rs. 389,,,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Fennelwhole_x360.jpg?v=1623566082,"Premium & limited edition Single Origin, sourced from organic farmers of Gujarat in only small batches following the rules of permaculture;  grown and secured without harming the natural ecosystem. Used in soups, stews, roastings, braising  & sweets dishes. and pickles. 
","Fennel contains calcium, potassium, vitamin C, and folate. Is ant-inflammatory. May support heart health, healthy skin,  weight management, improve symptoms of anaemia.
"
48,Premium Quality Fennel Powder,,,,,Rs. 324,,,Rs. 649,,,Rs. 1299,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/fennelpowder_x360.jpg?v=1624767482,"Non-GMO, Vegan, Gluten free Premium Gourmet Food Grade Fennel Powder
Made from best quality fennel whole with natural oils intact. Sourced from the organic fennel seeds farmers of Gujarat
No artificial Colours/ No preservatives / No additives added. Used in soups, stews, roastings, braising  & sweets dishes. and pickles. 

","Fennel contains calcium, potassium, vitamin C, and folate. Is ant-inflammatory. May support heart health, healthy skin,  weight management, improve symptoms of anaemia.
"
49,Premium Quality Mustard Whole,,Rs. 389,,,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/MustardWhole_1_x360.jpg?v=1623682098,"Non-GMO, Vegan, Gluten-free Premium Gourmet Food Grade Spice, sourced from organic farmers in Rajasthan. Used to make sauces, in curries, pickles, stews, for tempering dishes, mayonaisse.","Mustard contains selenium, calcium, copper, and vitamins C, A, and K, fiber, selenium, magnesium, and manganese. Is anti-oxidant and anti-inflammatory. Strengthens bones, hair, nails, teeth. Relieves gum pain. "
50,Premium Quality Mustard Whole,,,,Rs. 324,,,,Rs. 519,,,Rs. 909,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Mustardwhole_x360.jpg?v=1623682867,"Non-GMO, Vegan, Gluten free Premium Gourmet Food Grade. No artificial colours/ preservatives / additives added
Sourced from organic farmers in Rajasthan. Washed 2-3 times and sun-dried. Used to make sauces, in curries, pickles, stews, for tempering dishes, mayonaisse, as a preservative.","Mustard contains selenium, calcium, copper, and vitamins C, A, and K, fiber, selenium, magnesium, and manganese. Is anti-oxidant and anti-inflammatory. Strengthens bones, hair, nails, teeth. Relieves gum pain. "
51,"Premium Guntur Chilli Whole - 30,000 - 350,000 SHU (Scoville Heat Unit)",Rs. 389,,,,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/ChilliWhole_x360.jpg?v=1623564827," Premium & Limited edition Single Origin,  sourced from organic farmers of Guntur of Andra Pradesh who follow permaculture, secured without harming the natural ecosystem. Used to flavour and spice to dishes, as picking agent & preservative. ","Guntur Chillies contains Vitamins C, A , E & K,  Riboflavin, Niacin, Magnesium and Potassium, riboflavin, beta carotene. Helps digestion, nasal congestion, weight loss, muscle pain relief, release endorphins."
52,"Premium Quality  Guntur Chilli Powder - 30,000 - 350,000 SHU (Scoville Heat Unit)",,,,,Rs. 324,,,Rs. 649,,,Rs. 1299,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/chilli_x360.jpg?v=1624766415,"Single Origin, Non-GMO, Vegan, Gluten free Premium Gourmet Food Grade Chilli Powder. No artificial colours, preservatives, additives added
Made from best quality Chili  with natural oils intact. Sourced from the organic Chilli farmers of Guntur, Andra Pradesh. Used to flavour and spice to dishes, as picking agent & preservative.
","Guntur Chillies contains Vitamins C, A , E & K,  Riboflavin, Niacin, Magnesium and Potassium, riboflavin, beta carotene. Helps digestion, nasal congestion, weight loss, muscle pain relief, release endorphins."
53,Premium Kashmiri Chilli Whole - 2000 SHU (Scoville Heat Unit),Rs. 389,,,,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/KashmiriChilliWhole_x360.jpg?v=1623564842,"Premium & Limited edition Single Origin, from organic farmers of Kashmir. Carefully sourced following the rules of permaculture without harming the natural ecosystem. Used in curries, tandoori food , stews, Indian and Thai dishes to spice up and add colour to food
","Kashmir Chillies contain Vitamin C, B-Complex, iron, potassium, copper, manganese, and magnesium.Is a natural detoxifier. Helps improve digestion, immunity, nasal congestion, reduce inflammation. "
54,Premium Quality Kashmiri Chilli Powder -  2000 SHU (Scoville Heat Unit),,,,,Rs. 324,,,Rs. 649,,,Rs 1299,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/kashmirichilli_x360.jpg?v=1624951845," Premium Gourmet Food Grade  of single origin, sourced from the organic farmers of Kashmir; washed several times, sundried and  ground in house. No artificial Colours/ preservatives/additives added. No oils are extracted during the process. Non-GMO, Vegan, Gluten free. Used to make curries, barbeques, tandoori food, stews, Chinese & Indian food.  
","Kashmir Chillies contain Vitamin C, B-Complex, iron, potassium, copper, manganese, and magnesium.Is a natural detoxifier. Helps improve digestion, immunity, nasal congestion, reduce inflammation. "
55,"Premium Birds Eye / Thai Chilli  Dried - 50,000 - 10,000 SHU (Scoville Heat Unit)",,Rs. 649,,,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Bird_sEyeChilliKanthariChilli_x360.jpg?v=1623564504," Premium & Limited edition Single Origin; ethically sourced and hand-picked from the homestead of certified organic farmers of the worlds best growing belt for birds eye chili in Kerala. No added colours, preservatives, additives or chemicals. Single Origin, Farm Direct Produce, Made in small batches.
Non-GMO, No Preservatives, Vegan, Gluten-free. Used in sauces, marinades, curries, soups, culinary dishes.
","Birds Eye Chillies contain Vitamins A, C, E, beta-carotene, folic acid. Aids digestion, weight loss, increases heart performance & appetite, heals joint pain.  Used to treat infections. 
        "
56,"Dried Birds Eye Thai Chilli  (Ripened and Dried) : 50,000- 10,000 SHU ( Scoville Heat Unit)",,Rs. 909,,,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/81HP8zu8XNL._SL1500_x360.jpg?v=1622006745," Premium & Limited edition Single Origin; sourced from the homestead of certified organic farmers of Kerala. Ethically sourced, hand-picked, No added colours, preservatives, additives or chemicals.  
Non-GMO, No Preservatives, Vegan, Gluten-free. Used in sauces, marinades, curries, soups, culinary dishes. ","Birds Eye Chillies contain Vitamins A, C, E, beta-carotene, folic acid. Aids digestion, weight loss, increases heart performance & appetite, heals joint pain.  Used to treat infections. 
        "
57,"Dried Birds Eye  / Thai Chilli  : 50,000- 10,000 SHU ( Scoville Heat Unit)",Rs. 51,Rs. 909,,,Rs. 1560,,,Rs. 3120,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/kantharichilli_x360.jpg?v=1623164835,"Finest graded homestead spice from organic farmers network in Wayanad.
Handpicked, hygienically packed. No colours, preservatives, additives or chemicals.                                     
Used in sauces, marinades, curries, soups, culinary dishes. ","Birds Eye Chillies contain Vitamins A, C, E, beta-carotene, folic acid. Aids digestion, weight loss, increases heart performance & appetite, heals joint pain.  Used to treat infections. 
        "
58,"Ground Birds Eye  / Thai Chilli Powder  : 50,000- 10,000 SHU ( Scoville Heat Unit)",Rs. 519,Rs. 909,,,Rs. 1560,,,Rs. 3120,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/bd_x360.jpg?v=1617207079,"Finest graded homestead spice from organic farmers network in Wayanad.
Handpicked, hygienically packed, No added colours, preservatives, additives or chemicals.                                          
Used in sauces, marinades, curries, soups, culinary dishes. ","Birds Eye Chillies contain Vitamins A, C, E, beta-carotene, folic acid. Aids digestion, weight loss, increases heart performance & appetite, heals joint pain.  Used to treat infections. 
        "
59,Premium Dry Ginger Whole,,Rs. 389,,,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/DryGingerWhole_x360.jpg?v=1623565933,"Premium & Limited edition Single Origin, non-hybrid, organically grown, local variety called Maran  sourced from a fair trade certified farmer in Wayanad, Kerala. Fresh ginger root skin is peeled, washed, sliced  and  solar dried. Free of pesticide, insecticide, fungicide, preservatives, flavours.  Used in soups, meats, marinades, vinaigrettes.","Ginger contains gingerol, Vitamins C & B-9, thiamine, magnesium, potassium.  Is anti-inflammatory & anti-oxidant. Helps calm nausea, lowers blood sugar, reduces menstraul cramps, arthritis, soothe muscles, improve oral health."
60,GINGER POWDER,,Rs. 389,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0450/4161/5010/products/712AGqgujDL._AC_SL1500_1024x1024@2x.jpg?v=1624768670,"Premium & Limited edition Single Origin, non-hybrid, organically grown, local variety called Maran  sourced from a fair trade certified farmer in Wayanad, Kerala. Fresh ginger root skin is peeled, washed, sliced  and  solar dried. Free of pesticide, insecticide, fungicide, preservatives, flavours.  Used in soups, meats, marinades, vinaigrettes.","Ginger contains gingerol, Vitamins C & B-9, thiamine, magnesium, potassium.  Is anti-inflammatory & anti-oxidant. Helps calm nausea, lowers blood sugar, reduces menstraul cramps, arthritis, soothe muscles, improve oral health."
61,Dry Ginger Root Whole,,,,,Rs. 519,,,Rs. 909,,,Rs. 1817,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/DryGingerWhole_fd76050c-e8a1-40eb-8d2c-32260e3368a7_x360.jpg?v=1623648104,"Premium & Limited edition Single Origin, non-hybrid, organically grown, local variety called Maran  sourced from a fair trade certified farmer in Wayanad, Kerala. Fresh ginger root skin is peeled, washed, sliced  and  solar dried. Free of pesticide, insecticide, fungicide, preservatives, flavours.  Used in soups, meats, marinades, vinaigrettes.","Ginger contains gingerol, Vitamins C & B-9, thiamine, magnesium, potassium.  Is anti-inflammatory & anti-oxidant. Helps calm nausea, lowers blood sugar, reduces menstraul cramps, arthritis, soothe muscles, improve oral health."
62,Dry Ginger Powder,Rs. 259,Rs. 389,,Rs. 714,Rs. 779,,,Rs. 1557,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/gingerpowder100gm_x360.jpg?v=1624768677,"Premium & Limited edition Single Origin, non-hybrid, organically grown, local variety called Maran  sourced from a fair trade certified farmer in Wayanad, Kerala. Fresh ginger root skin is peeled, washed, sliced  and  solar dried. Free of pesticide, insecticide, fungicide, preservatives, flavours.  Used in soups, meats, marinades, vinaigrettes.","Ginger contains gingerol, Vitamins C & B-9, thiamine, magnesium, potassium.  Is anti-inflammatory & anti-oxidant. Helps calm nausea, lowers blood sugar, reduces menstraul cramps, arthritis, soothe muscles, improve oral health."
63,Premium  Coriander  whole,,Rs. 389,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0450/4161/5010/products/CorianderWholeDhania_1024x1024@2x.jpg?v=1623565216,"Premium & Limited edition Single Origin, non-hybrid, organically grown, local variety called Maran  sourced from a fair trade certified farmer in Wayanad, Kerala. Fresh ginger root skin is peeled, washed, sliced  and  solar dried. Free of pesticide, insecticide, fungicide, preservatives, flavours.  Used in soups, meats, marinades, vinaigrettes.","Corriander contains vitamins A, C, K, fibre, iron, manganese, magnesium, copper, iron, zinc. Helps reduce cholesterol, increase metabolism, reduce diarrhea, treat skin infection, prevents anemia."
64,Premium Quality Coriander Powder,,,,,Rs. 324,,,Rs. 649,,,Rs. 1299,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/coriannderpowder_x360.jpg?v=1624767119,"Single Origin, Gourmet Food Grade, Non-GMO, Vegan, Gluten free. No artificial Colours, preservatives, additives added
Sourced from the organic coriander farmers of Kota, Rajasthan. Used in curries, Thai, Egyptian, Chinese, Indian, Mexican  food; in salads, soups, pickles.
","Corriander contains vitamins A, C, K, fibre, iron, manganese, magnesium, copper, iron, zinc. Helps reduce cholesterol, increase metabolism, reduce diarrhea, treat skin infection, prevents anemia."
65,Premium Quality Garam Masala Powder,,,,,Rs. 324,,,Rs. 650,,,Rs. 1299,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Garam1_x360.jpg?v=1607536802,"Non-GMO, Vegan, Gluten free Premium Gourmet Food Grade Spice Mix Powder        
Made from best quality spices. Sourced from the best organic farmers across India. No artificial Colours/ No preservatives / No additives added. Used for marinades, rubs, flavouring for meats, fish, soups.
","Garam Masala contains iron, manganese, calcium, phosphorus, magnesium. Helps reduce fatigue & inflammatio , increase blood cells, improves immune system, digestion, nutrient absorption.   "
66,Premium Curry Leaves Whole (Dried),,Rs. 389,,,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/CurryLeavesWhole_x360.jpg?v=1623565576,"Premium & Limited edition Single Origin Curry Leaves Whole collected in small batches from the homestead of certified organic farmers of Kerala, shade dried  and packed in flavour locked jar, following  permaculture, without harming the natural ecosystem.
Used to make chutneys, pickles, tempering foods, in salads, stews. 
","Curry Leaves contain aids digestion, helps treat dysentery, constipation, diarrhea, morning sickness, reduce stress & blood sugar,  heal wounds, skin eruptions, improve eyesight. "
67,Curry Leaves Powder,Rs. 324,Rs. 454,,,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/CurryLeavesPowder50gm_x360.jpg?v=1624951730,"100% organic and pure, natural curry leaves  sourced from the homestead produce of fair trade farmers of Kerala.
No additives, colours or preservatives added. Fresh water washed and solar dried.
Used to make chutneys, pickles, tempering foods, in salads, stews.","Curry Leaves contain aids digestion, helps treat dysentery, constipation, diarrhea, morning sickness, reduce stress & blood sugar,  heal wounds, skin eruptions, improve eyesight. "
68,Premium Indian Bay Leaf Whole,Rs. 259,,,,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/IndianBayLeaf_x360.jpg?v=1623566387,"Premium & Limited edition, Single origin, collected in small batches. Organically grown without pesticides, fungicides, chemicals. Used in stuffings, stews, rice dishes, curries, sauces. ","Bay Leaves contain vitamin A, vitamin B6, and vitamin C. Is anti-bacterial & anti-inflammatory. Helps ease indigestion, relieve sinus & respiratory ailments, improve hair health, low cholesterol & uric acid levels."
69,Organically Grown Dry Bay Leaves Whole,Rs. 259,Rs. 324,,Rs. 584,,,,Rs. 1299,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Bayleaves_x360.jpg?v=1623162987,"100% natural, organically grown, vegan, Non- GMO, Non-ETO, Non-irradiated product. No chemicals, pesticides, preservatives added. Premium quality leaves, shade dried.  Used in stuffings, stews, rice dishes, curries, sauces, taste enhancer for dishes.","Bay Leaves contain vitamin A, vitamin B6, and vitamin C. Is anti-bacterial & anti-inflammatory. Helps ease indigestion, relieve sinus & respiratory ailments, improve hair health, low cholesterol & uric acid levels."
70,Bay Leaf Powder,Rs. 259,Rs. 291,,Rs. 582,Rs. 649,,,Rs. 1299,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/bayleavespowder100gm_x360.jpg?v=1624765425,"100% natural, organically grown, vegan, Non- GMO, Non-ETO, Non-irradiated. No chemicals, pesticides, preservatives added
Premium quality leaves  are shade dried, powdered and packed with exceptional care.  Used in stuffings, Used in stews, rice dishes, curries, sauces, taste enhancer for dishes.","Bay Leaves contain vitamin A, vitamin B6, and vitamin C. Is anti-bacterial & anti-inflammatory. Helps ease indigestion, relieve sinus & respiratory ailments, improve hair health, low cholesterol & uric acid levels."
71,Premium Carom Seed / BishopsWeed Whole,,Rs. 389,,,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/AjwainSeedsWhole2_x360.jpg?v=1611403425,"Premium & Limited edition Single Origin, of the finest quality, sourced from select organic farmers of Gujarat.
These seeds impart a rich aroma and a subtle taste to  dishes.  Used in cakes, soups, marinades, stews
","Carom Seeds contain niacin, thiamine, sodium, phosphorus, potassium, and calcium. Anti-fungal & anti-bacterial. Reduces cholesterol, blood pressure, improves digestion, combats peptic ulcers. "
72,Premium Quality Carom Seed / Bishops Weed,,,,Rs. 323,,,,Rs. 454,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/ajwain_x360.jpg?v=1624765174,"Non-GMO, Vegan, Gluten free Premium Gourmet Food Grade Spice, sourced from farmers of Gujarat
No artificial colours, preservatives, additives added. 
Used for soups, stews, pickles, chicken & fish dishes, baked goods.","Carom Seeds contain niacin, thiamine, sodium, phosphorus, potassium, and calcium. Anti-fungal & anti-bacterial. Reduces cholesterol, blood pressure, improves digestion, combats peptic ulcers. "
73,Premium Asafoetida Whole,,Rs. 909,,,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/AsafaetidaWhole_x360.jpg?v=1623682469," Premium & Limited edition Single Origin. Used  in lentil dishes, savoury dishes, bread, meat dishes as a flavouring and deflatulent.
","Asafoetida contains calcium, phosphorus, iron, fibre. Anti-fungal, anti-microbial, anti-bacterial. May reduce blood pressure and sugar, ease asthma, protect brain health, help with indigestion and irritable bowel, intestinal worms. "
74,Premium quality Asafoetida Powder,,Rs. 779,,Rs. 1557,,,Rs. 3115,Rs. 3899,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Asafetida1_x360.jpg?v=1607538152,"Special grade, made from Natural first extract, sourced from Afghanistan
No artificial flavour or artificial colours added.  Used  in lentil dishes, savoury dishes, bread, meat dishes as a flavouring and deflatulent. ","Asafoetida contains calcium, phosphorus, iron, fibre. Anti-fungal, anti-microbial, anti-bacterial. May reduce blood pressure and sugar, ease asthma, protect brain health, help with indigestion and irritable bowel, intestinal worms. "
75,Premium Fenugreek Whole,,Rs. 389,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0450/4161/5010/products/fa_1024x1024@2x.jpg?v=1605601263,"Non-GMO, Vegan, gluten free Premium gourmet food grade seeds sourced from the organic fenugreek farmers of Gujarat
No artificial colours, preservatives,additives added. 
Used to finish dishes like sauces, curries, vegetable dishes, and soups.","Fenugreek contains  sodium, zinc, Vitamins A, B, C, beta carotene, choline.   Helps lower blood sugar & inflammation,  boost testosterone, increase lactation,  reduce cholesterol, menstrual cramps,  control appetite."
76,Premium Quality Fenugreek Powder,,,,Rs. 454,,,,Rs. 649,,,Rs. 1299,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/fenugreekpowder_x360.jpg?v=1624767557,"Non-GMO, Vegan, Gluten free Premium Gourmet Food Grade Fenugreek Powder made from best quality seeds, sourced  organic farmers of Gujarat
No artificial colours, preservatives, additives added
Used to make health teas, as a flavouring in curries and rubs.","Fenugreek contains  sodium, zinc, Vitamins A, B, C, beta carotene, choline.   Helps lower blood sugar & inflammation,  boost testosterone, increase lactation,  reduce cholesterol, menstrual cramps,  control appetite. "
77,Combo of  Whole Black Pepper & White Pepper,,,,Rs. 909,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/white-pepper-black-pepper-wooden-spoon-isolated-white-surface_x360.jpg?v=1622259245," Of single-origin and small batch products, organically grown and sourced from fair trade farmers.
Used in breakfast dishes, on eggs, in curries, rubs and meet & fish marinades, soups, stews.","White & Black Peppers contain magnesium, phosphorus, manganese, iron, copper. Anti-oxidant. Enhances nutrient absorption, helps with indigestion, fat reduction, clears nasal and chest congestion, combats arthritis. "
78,Combo  of Black Pepper Powder + White Pepper Powder - 50 gm Each,,Rs. 454,,,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Combo_3_c6501a32-cf1a-4cca-8271-72e23186ab6a_x360.jpg?v=1625466870,"Finely grounded organic spice powders from Kerala. Manually picked. Small batches production only. Ground only once order is placed. Used in breakfast dishes, on eggs, in curries, rubs and meet & fish marinades, soups, stews.","White & Black Peppers contain magnesium, phosphorus, manganese, iron, copper. Anti-oxidant. Enhances nutrient absorption, helps with indigestion, fat reduction, clears nasal and chest congestion, combats arthritis. "
79,Combo of Allspice Whole and Black Pepper Corns - 100 gm Each,,,,Rs. 584,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/allspice-wooden-bowl-black-pepper-isolated-white-background_x360.jpg?v=1622259988,"Sourced from organic and fair trade farmers of Kerala. Single origin, small batched products. Used in cakes and stews, rubs, marinades.","Allspice  & Black Pepper contains contain magnesium, phosphorus, manganese, iron, copper. Anti-oxidant. Remedy for colds, menstrual cramps, indigestion, headache, fatigue, and nasal congestion, pain relief, cramps."
80,Special Combo Pack of Clove Powder + Black Pepper Powder - 50 Gm Each,,Rs.  428,,,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Combo_7_x360.jpg?v=1625466612,"Manually picked . Small batch production only. Non -GMO, free of pesticides & chemicals. Organically grown. 
Used in curries, baked goods, stews, soups, spice mixes, sauces, marinades.","Clove & Black Pepper contain Vitamin K, potassium, manganese, copper. Anti-oxidant &  anti-inflammatory. Used as an analgesic, for good oral health, clear chest congestion, bad breath, indigestion."
81,Special Combo Pack of Cardamom Seeds Powder + Black Pepper Powder - 50 Gm Each,,Rs. 779,,,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Combo_5_x360.jpg?v=1625466336,"Finely grounded organic spice powders from Kerala for your daily needs.
Manually picked. Small batch production only.   Used in baked goods, stews, marinades, sauces","Cardamom & Black Pepper contain calcium, potassium, magnesium. Anti-oxidant & anti-inflammatory. Used to treat coughs, colds, chest infections, diabetes, improve digestion & oral health. "
82,Special Combo Pack of Cardamom Seed + Cardamom Seed Powder - 50 Gm Each,,Rs. 1039,,,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Combo_6_x360.jpg?v=1625466039,"Organically grown and made from finest quality cardamom seeds. Sourced from organic and fair traded farmers network  of Idukki district of Kerala.
No artificial colours, flavors or preservatives added. Gluten-free, non irradiated.   Used in baked goods, rubs, marinades, pickles. ","Cardamom contains calcium, Vitamin C, potassium, magnesium.Ant-oxidant & anti-inflammatory. Used to treat coughs, oral health, colds, in ayurveda, control asthma, sugar levels, treat depression & improve digestion. "
83,Combo  Of  Cardamom Seed Powder +  Nutmeg Powder - 100 Gm each,,,,Rs. 1234,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Combo_2_c932edb5-d1cd-4e4e-a6f3-4b34d3d7445f_x360.jpg?v=1625467629,"Nutmeg is used in puddings, confectionary, stews, soups, marinades. ","Cardamon & Nutmeg contain Vitamin C, potassium, sodium, magnesium. Anti-oxidant. May help boost mood, help blood sugar control, reduce risk of heart disease. Also treats insomnia. "
84,Combo Of  Nutmeg Powder +  Mace Powder - Jar Options of 2 x 50 gm & 2 x 100 gm,,Rs. 649,,Rs. 907,,,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Combo_10_x360.jpg?v=1625467067,"Finely ground organic spice powders from Kerala. Manually picked. Small batch production only. Pure and natural. No additives, colours or preservatives added
Sourced from the organically grown growers in Travancore, Kerala and ground in-house.
Used in confectionary, puddings, stews, food items.","Nutmeg & Mace contain magnesium, phosphorus, zinc, vitamins A & C, potassium. Helps increase appetite, boost blood circulation, treat  intestinal gas, reduce gum inflammation.
"
85,Combo of Cardamom +  Black Pepper + Clove - ( Powders),,,Rs. 1036,,,Rs. 1494,,,,,Rs. 1559,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Combo_4_x360.jpg?v=1623586502,"Finely ground organic spice powders sourced from homestead organic and fair trade farmers of Western Ghats region, Kerala. Ground only once order is placed. Of single-origin & small batch products & free from pesticides & other chemical impurities.
Perfect gifting option. Used in confectionary, baked food, stews, soups, teas. ","Cardamon, Clove & Black Pepper contain magnesium, Vitamin C, manganese. Anti-oxidant. Relives gastric problems, improves oral health, digestive issues, coughs & colds."
86,Combo of Cardamom Seeds + Black Pepper + Clove - (Whole) - 100 gm each,,,,,,Rs. 1559,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Combo_6_da147c87-78a1-4064-a7f0-fd267cfd370a_x360.jpg?v=1625466975,"Manually picked. Small batch production powders sourced from homestead organic and fair trade farmers of Western Ghats region, Kerala. Used  in curries, meat, poultry, fish dishes, stews, teas.                                                                                                                                              ","Cardamon, Clove & Black Pepper contain magnesium, Vitamin C, manganese. Anti-oxidant. Relives gastric problems, improves oral health, digestive issues, coughs & colds."
87,Combo Offer -  Black Pepper Powder +  Cinnamon Powder + Cardamom Seed - ( Powders)  -100 gm each,,,,,,Rs. 956,,,,,Rs. 956,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Combo_4_63b88f65-e7a3-47de-af04-50889cda6467_x360.jpg?v=1625467490,"Sourced from organic growers in Kerala and ground in-house. No additives, Colours or preservatives added
Used in eggs, baked goods, confectionary, sauces, stews, meat & poultry dishes.","Black Pepper, Cardamon & Cinnamon contain calcium, potassium, manganese, magnesium. Anti-oxidant, ant-inflammatory. Good for sore throats & coughs, lowering insulin, weight loss, oral health, digestion. "
88,Combo of  Black Pepper +Ceylon Cinnamon + Cardamom + Cloves - ( Whole Spices) -100 gm each,,,,,,,Rs. 1949,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Combo_4_1_x360.jpg?v=1623594245,"Collected from farmers and tribal people. Processed and packed the  traditional way. Free from pesticides and other chemical impurity. Used in stews, curries, sauces, seasonings, marinades.            ","Black Pepper, Cardamon & Cinnamon contain calcium, potassium, manganese, magnesium. Anti-oxidant, ant-inflammatory. Good for sore throats & coughs, lowering insulin, weight loss, oral health, digestion. "
89,"Gift Pack of 3 Indian Spices - Cardamon, Clove, Black Pepper - (Whole Spices) -100 gm each",,,,,,Rs. 1299,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Combo_4_x360.jpg?v=1623586502,"Collected from farmers and tribal people. Processed and packed the  traditional way. Free from pesticides and other chemical impurity. Used in stews, curries, sauces, seasonings, marinades.            ","Cardamon, Cloves, Black Pepper contain potassium, magnesium, Vitamin C. Aids digestion, oral health, relieves inflammation. "
